timestamp,vehicle-id,vehicle-type,location-lat,location-long,edge-id,edge-name,speed,fuel-consumption,co2-emission,co-emission,hc-emission,noise-emission,nox-emission,pmx-emission
1000,0,DEFAULT_VEHTYPE,49.35993781996378,8.708693240501733,-41279485#1,Dachsbauweg,0.0,0.23988551336146274,601.6927777777778,6.37156111111111,0.34941999999999995,55.94027641010836,0.83951,0.02126148611111111
2000,0,DEFAULT_VEHTYPE,49.35995075574213,8.708691874861612,-41279485#1,Dachsbauweg,1.4416886697057636,0.4510707071259095,1131.3979717377754,12.369923986610605,0.481155213761483,62.83380042525722,1.9623936330549734,0.08238918073041696
2000,1,DEFAULT_VEHTYPE,49.419511534348125,8.73918072368003,308609215#1,Stiftweg,0.0,0.23988551336146274,601.6927777777778,6.37156111111111,0.34941999999999995,55.94027641010836,0.83951,0.02126148611111111
3000,0,DEFAULT_VEHTYPE,49.35997870958288,8.70868892375052,-41279485#1,Dachsbauweg,3.1154472965048625,0.7594849006216902,1904.9777540565037,23.392831777408077,0.7016417854260686,64.53183306655048,3.6817272653446595,0.1852850815259345
3000,1,DEFAULT_VEHTYPE,49.41952971241097,8.739160027311334,308609215#1,Stiftweg,2.5408767523476854,0.9158351222463867,2297.143268063587,35.97985723990803,0.8962056226993738,68.09920408517979,4.806100777584474,0.2890711702468839
3000,2,DEFAULT_VEHTYPE,49.41406241574195,8.669148090288353,-25813138#0,Hofmeisterweg,0.0,0.23988551336146274,601.6927777777778,6.37156111111111,0.34941999999999995,55.94027641010836,0.83951,0.02126148611111111
4000,0,DEFAULT_VEHTYPE,49.36002286511657,8.708684262205722,-41279485#1,Dachsbauweg,4.921121238418856,1.1190313768910913,2806.809972357468,37.32475905157833,0.9712555335432271,65.8867443986364,5.726744359862718,0.3119796306828301
4000,1,DEFAULT_VEHTYPE,49.41955750255722,8.739117339849747,308609215#1,Stiftweg,4.373935517529025,1.03546353326191,2597.201014925147,34.61472724677371,0.9151183031337029,65.76464938296218,5.269194365673002,0.2862142641358841
4000,2,DEFAULT_VEHTYPE,49.41405341847092,8.669180323719601,-25813138#0,Hofmeisterweg,2.5433046154212207,0.9172723830213406,2300.7482773415595,36.05920682710538,0.8975547361565683,68.11084087493158,4.815177855824571,0.28977726056297126
4000,3,DEFAULT_VEHTYPE,49.367144540139776,8.652801556718119,-27604628#3,unknown,0.0,0.23988551336146274,601.6927777777778,6.37156111111111,0.34941999999999995,55.94027641010836,0.83951,0.02126148611111111
5000,0,DEFAULT_VEHTYPE,49.36006408339811,8.708679910741894,-41279485#1,Dachsbauweg,4.59376540588215,0.0,0.0,0.0,0.0,56.79494800069967,0.0,0.0
5000,1,DEFAULT_VEHTYPE,49.41960103563791,8.739054477480623,308609215#1,Stiftweg,6.652184849139302,1.7720649151594918,4444.780988921301,70.40530194312925,1.552466659234619,68.7047351931154,9.720036501395215,0.5984975221564909
5000,2,DEFAULT_VEHTYPE,49.4140311193212,8.669218988073574,-25813138#0,Hofmeisterweg,3.7668375865379358,0.7107283842241943,1782.6841535556198,17.688059810608024,0.6166096641560163,62.852333515057026,3.2855416713349657,0.14682870010396837
5000,3,DEFAULT_VEHTYPE,49.36715644560787,8.652814658283603,-27604628#3,unknown,1.63134470845107,0.5076952715363474,1273.4265252501348,14.907393532114302,0.5280763088805474,63.74190163964538,2.2944423547880732,0.10428759349801571
5000,4,DEFAULT_VEHTYPE,49.40074593014261,8.644405567146494,-27448155#4,Obere Rödt,0.0,0.23988551336146274,601.6927777777778,6.37156111111111,0.34941999999999995,55.94027641010836,0.83951,0.02126148611111111
6000,0,DEFAULT_VEHTYPE,49.36011390097463,8.70867465143012,-41279485#1,Dachsbauweg,5.552154383962043,0.8090050509595111,2029.1863270127853,16.4347145101772,0.6238867500213017,62.5666734492222,3.697317939197416,0.15637633313481206
6000,1,DEFAULT_VEHTYPE,49.41965116850654,8.738986213276187,308609215#1,Stiftweg,7.455094927451573,0.912436084867166,2288.616716645806,15.675315103752103,0.6362992544070705,62.94845463950715,4.154048756111473,0.17003253242910837
6000,2,DEFAULT_VEHTYPE,49.41398487477563,8.669250994975455,-373911208#1,Hofmeisterweg,5.760823229566218,1.3815653648257409,3465.310691981819,49.863651133534276,1.1963432173861253,67.07652561427886,7.3027969355258096,0.42074002138518984
6000,3,DEFAULT_VEHTYPE,49.36718303640126,8.652843920582278,-27604628#3,unknown,3.6435996088199323,0.9748834789621919,2445.2511910781245,34.223855806457934,0.8933248507991265,66.23341447120447,4.99245997965577,0.27856085125480584
6000,4,DEFAULT_VEHTYPE,49.40074921967076,8.644430758537474,-27448155#4,Obere Rödt,1.8638416847446933,0.5893187943116761,1478.158714458367,18.802379930490755,0.5983329089543942,64.85535437440151,2.782807923120158,0.13800173873723523
6000,5,DEFAULT_VEHTYPE,49.37680813246679,8.611387200067975,37208504#0,unknown,0.0,0.23988551336146274,601.6927777777778,6.37156111111111,0.34941999999999995,55.94027641010836,0.83951,0.02126148611111111
7000,0,DEFAULT_VEHTYPE,49.36016035981039,8.708665312929353,:276352170_1,unknown,5.216129846000113,0.0,0.0,0.0,0.0,57.17847004922052,0.0,0.0
7000,1,DEFAULT_VEHTYPE,49.41970875038444,8.738914430030661,308609215#1,Stiftweg,8.251665639500134,0.9786963570595778,2454.8137496319296,16.82097766206261,0.6662023558960459,63.37707239314591,4.488967835485313,0.1847136790233608
